wilayah,tahun,bulan,risk_label,final_score,climate_score,historical_score,sifat_hujan,HTH_hari,rasio_KAT_terhadap_normal,faktor_dominan,rekomendasi_aksi
BOJONEGORO,2026,2,low,2,1,1,AN,0,0.9966559184436364,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
BOJONEGORO,2026,3,low,2,1,1,N,1,0.982018676298696,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
LUMAJANG,2026,3,low,2,1,1,N,4,1.0452652907827369,"HTH panjang, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
MALANG,2026,1,low,2,1,1,AN,2,1.022824055089358,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
MALANG,2026,2,low,2,1,1,AN,2,1.028535168915925,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
MALANG,2026,3,low,2,1,1,N,3,0.9880074485334812,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
NGANJUK,2026,1,low,2,1,1,N,2,1.0208475967715935,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
NGANJUK,2026,2,low,2,1,1,AN,0,1.0025750922715464,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
NGANJUK,2026,3,low,2,1,1,N,2,0.99300331811595,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
SITUBONDO,2026,3,low,2,1,1,AN,5,1.0658233251546891,"HTH panjang, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
TRENGGALEK,2026,1,low,2,1,1,AN,2,1.0097644451635786,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
TRENGGALEK,2026,2,low,2,1,1,AN,0,1.0025836726400827,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
TRENGGALEK,2026,3,low,2,1,1,N,3,0.9825803449365708,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
BANYUWANGI,2026,1,low,2,0,2,AN,2,1.0984604412675196,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BANYUWANGI,2026,2,low,2,0,2,AN,1,1.0835171108519317,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BLITAR,2026,2,low,2,0,2,AN,2,1.0463678878019644,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
GRESIK,2026,1,low,2,0,2,N,2,1.054127672318221,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
MAGETAN,2026,1,low,2,0,2,AN,2,1.0512339370311936,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
MOJOKERTO,2026,1,low,2,0,2,N,3,1.0570373105170483,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
PASURUAN,2026,1,low,2,0,2,N,3,1.1412174449949926,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
PASURUAN,2026,2,low,2,0,2,AN,2,1.1364536010704784,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
PASURUAN,2026,3,low,2,0,2,AN,3,1.0654327775373664,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
PONOROGO,2026,1,low,2,0,2,AN,2,1.0512205186234456,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
PROBOLINGGO,2026,1,low,2,0,2,AN,3,1.1613498739246249,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
PROBOLINGGO,2026,2,low,2,0,2,AN,3,1.1264357886341536,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
SIDOARJO,2026,1,low,2,0,2,N,2,1.072063432840782,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BONDOWOSO,2026,3,low,1,1,0,AN,4,1.0509221063015155,HTH panjang,Pantau rutin; belum membutuhkan intervensi prioritas.
JOMBANG,2026,2,low,1,1,0,AN,0,1.0232795234435907,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
JOMBANG,2026,3,low,1,1,0,N,2,0.991927757081313,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
MADIUN,2026,2,low,1,1,0,AN,1,1.024626158945957,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
MADIUN,2026,3,low,1,1,0,N,3,1.011050078674276,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
NGAWI,2026,2,low,1,1,0,AN,0,1.0161194382531311,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
NGAWI,2026,3,low,1,1,0,N,1,0.9977524415803404,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
TUBAN,2026,1,low,1,1,0,N,2,1.0281887848209137,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
TUBAN,2026,2,low,1,1,0,N,1,0.99833318191865,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
TUBAN,2026,3,low,1,1,0,N,1,0.9883178616714052,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
LUMAJANG,2026,1,low,1,0,1,AN,2,1.099313916377113,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
LUMAJANG,2026,2,low,1,0,1,AN,1,1.087448410723856,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
SITUBONDO,2026,1,low,1,0,1,AN,2,1.1337163966979604,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
SITUBONDO,2026,2,low,1,0,1,AN,2,1.118448026710956,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BONDOWOSO,2026,1,low,0,0,0,N,2,1.1172578915719555,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
BONDOWOSO,2026,2,low,0,0,0,AN,1,1.0999331862365709,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
JEMBER,2026,1,low,0,0,0,AN,2,1.0843385690144869,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
JEMBER,2026,2,low,0,0,0,AN,1,1.0752011244528747,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
JOMBANG,2026,1,low,0,0,0,N,2,1.0609199359964887,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
MADIUN,2026,1,low,0,0,0,AN,2,1.0550291814860595,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
NGAWI,2026,1,low,0,0,0,AN,2,1.051438634870178,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
